User,Skill1,Skill2,Skill3
eman-elsayed,javascript,angular,react
eman-hosam-18b2a4103,c#,c++,java
eman-othman-26634914a,business intelligence (bi),tableau,front-end
eman-rafik-00973416b,java,android development,web development
eman-saad-59739b164,english,data analytics,teamwork
emanhussien95,web development,database design,java
engkhaledmousa,node,software architecture,microservices
engyelshorbagy01,software engineering,object-oriented programming (oop),c++
eslam--adel,c#,.net core,angular
eslam-abuelseaoud,management,c++,programming
eslam-adel-07,c++,excellent experience with microcontrollers’ architectures like avr and stm32.,"excellent experience with usart, spi, i2c serial communication protocols."
eslam-adel-163694b2,kubernetes,linux system administration,amazon web services (aws)
eslam-alaa96,object-oriented programming (oop),flutter,xcode
eslam-ashraf-b70880216,data structures,redux.js,django
eslam-elassal-740201121,deep learning,computer vision,natural language processing (nlp)
eslam-elgedawy,software development,html,css
eslam-khaled-ek,c (programming language),embedded software programming,autosar architecture and drivers
eslam-khodair,pytorch,data analytics,python
eslam-mamdouh-63655016a,verilog,c++,scripting
eslam-samy-1210,machine learning,python,c (programming language)
eslam-tayseer-38367b181,java,spring boot,mongodb
esmail-elmoussel,node,microservices,react
esmail-hany,work hardening,egyptian arabic,microsoft office
esraa-antar-b87b9517a,google cloud platform (gcp),sql,azure devops
esraa-elbakly,c (programming language),embedded systems,arduino
eyadhamza,back-end,web application security,computer science
fadiakhaled,ajax,express,node
fady-abouelghit-083533b7,sql,matlab,python
fady-attia-01,amazon web services (aws),redux,software development
fady-khalil-5a23961b0,c,c++,linux
fady-noshy,deep learning,computer vision,natural language processing (nlp)
fadyek,websocket,amazon web services (aws),cdk
fadyelhalfawy,typescript,design patterns,javascript
farah-mostafa-077810185,engineering,software,data structures
fatemaelzahraa28,teamwork,team leadership,strategic planning
fatma-ali-773658a9,google cloud platform (gcp),microsoft office,leadership
fatma-elbadry-52a179115,embedded systems,embedded c,c++
fatma-moanes,machine learning,big data analytics,deep learning
fatma-sarhan-a4405296,sql,new relic,sonarqube
fayrouz-hussien,redux.js,react,vue
fayrouz-yehia,artificial intelligence (ai),embedded software,electrical engineering
fekri102,software development,python,pyhton
fouad-ayman-bb3803103,linux,cmake,sensors' calibration
gamal-saied-529337124,systemverilog,qa engineering,vhdl
gehad-mohammed,openstack,c (programming language),github
george-wageeh-047244156,kubernetes,docker,red hat linux
ghada-mohamed-a59459211,teamwork,problem solving,deep learning
ghareeb-elshaikh-a0a750134,html,css,c++
gsagomaasayedismail,.net framework,azure devops server,bootstrap
habiba-ahmed-ab41a6193,c (programming language),embedded systems,embedded c
habiba-maziad,python,c++,c#
habibamahmoud,c++,c,python
hadeer-ahmed-43b875102,wordpress,java,systems design
hafez-a-elmohsen-7601aa16,english,javase,java
hagar-ali-5a484918b,matlab,linux,tcl
haidyelnahass,css,flutter,oracle database
hajar-omar-460394118,rest apis,javascript,angular
halaelsaka2,react,node,javascript
halaemad,java,embedded c,html
hamzafouad,algorithms,problem solving,software development life cycle (sdlc)
hana-magdy-mohamed-08279b1b9,machine learning,python,c++
hanan-shaaban-012416147,3rd party integrations,google analytics,celery
hassan-gameil-023017a1,jboss application server,tomcat,object-oriented programming (oop)
hassan-osama,problem solving,c++,sql
hayamsaleh,object-oriented programming (oop),node,microsoft office
hazem-amgad-75a36b221,english,communication,problem solving
hazem-el-sherif-118083139,bootstrap,android development,java se
hazem-emad-a1a8891b2,react,javascript,object-oriented programming (oop)
hazem-khaled-951a991b2,safe c programming,software development,component design
hazem-mamdouh-fekry-979534ab,tensorflow,mlops,tableau
hazemkak,domain-driven design (ddd),apache kafka,django
heba-abdelhakam,python,data visualization,data analysis
heba-abdelnasser,github,visual studio,software testing
heba-atef-322790223,c++,project management,public speaking
heba-fathy-younis-01871625,python,statistics,data visualization
heidi-ashraf,react,node,javascript
heidy-hazem-90053616b,machine learning,big data,streaming
hemdan99,javascript,problem solving,c++
hend-ibrahim,c (programming language),embedded c,microcontrollers interfacing
hesham-aly,ios development,oop,rxswift
heshamelbahey,software development,swift,c#
heshammansourisamil,linux,python,problem solving
hkhairy,c#,unit testing,git
hodaragaie,docker,software design patterns,microservices
hosamasaad,software development,devops,amazon web services (aws)
hosametm,laravel,javascript,html
hossam-ashraf-a682921ab,javascript,php,sql
hossam-elghamry-035180164,front-end,cypress,team management
hossam-khir-allah,data science,object-oriented programming (oop),statistics
hossam-salah-emam,strategic planning,project management,self learning
hossammohamed236,linux,bash,python
hossammourad,microservices,javascript,angular
husseinfadl,algorithms,software development,machine learning
husseinraoouf,software architecture,back-end,devops
hussienibrahiem,c++,algorithms,data structures
hzmessam,software development,javascript,typescript
iahmedmaher,web development,data centers,cloud computing
iar96,c++,neural networks,digital image processing
ibrahim-aboalsoud,ionic framework,angular,javascript
ibrahim-ahmed-1106,computer science,software development life cycle (sdlc),computer engineering
ibrahim-ali-mo,cypress,jasmine framework,web servers
ibrahim-elsebaie,teamwork,c++,microsoft office
ibrahim-fouad,azure devops server,blazor,angular
ibrahim-hassan-599935123,تطبيق أنجولارجس,sql,php
ibrahim-sobh-phd-8681757,c#,oop,java
ibrahimabdelaziz1,c++,computer vision,deep learning
ibrahimelsaidsaad,unit testing,bazel,continuous integration
ihab-ahmed,project plans,software quality assurance,software quality
ihab-tag,product road mapping,competitive analysis,stakeholder management
islam-ahmed-54a2b899,verilog,vhdl,system verilog
islam-dawood-85230918,xml,hibernate,servlets
islam-elmas,devops,amazon web services (aws),microsoft azure
islam-elsayed-52639a41,solr,elasticsearch,amazon web services (aws)
islam-emad-7a0152205,javascript,css,typescript
islam-hassan-b733aa23,algorithms,data structures,c++
islam-muhammad13,application programming interfaces,sql,c#
islammahamed,algorithms,back-end,microservices
islammoneer,docker,html,css
islammuhamed,git,github,jasmine framework
islamshafeek,software development,can bus,embedded software
ismailsamiribrahim,databases,linux,c++
israa-ashraf-716880143,test automation,agile methodologies,teamwork
israa-shawkii-ibrahim,google cloud platform (gcp),git,terraform
jaylan-khaled-a5a33a146,engineering,language development,communication
kamal-aly-346137115,c++,web development,c#
kamel--mohamed,asp.net,aws lambda,aws sqs
kareem-osama-a9b4ba1b1,c++,problem solving,python
kareem-s-a6a5b4ba,real-time operating systems (rtos),atmel avr,autosar
kariim8,ios development,android development,flutter
karim-adnan-ba251a1a7,react,javascript,css
karim-ahmed-659737141,python,javascript,node
karim-el-azzouni-29002385,c++,java,c
karim-nosseir,data structures,c++,java
karim-yasser-36a80119b,javascript,html,angular
karimatif33,git,workflow management systems,information systems
karimhisham,artificial intelligence (ai),machine learning,deep learning
karimmostafa0717,arduino,c,embedded c
kazafy-sayed-b2546693,teamwork,english,project planning
kelawaad,object-oriented programming (oop),machine learning,data structures
keroleselkess43,machine learning,python,sql
kerolloz,node,ruby on rails,problem solving
khaled-amgad-21040a200,object-oriented programming (oop),databases,software development
khaled-mahmoud22,c++,presentation skills,icdl
khaled-mansour-22a914184,embedded software programming,laravel,arduino
khaled-mohamed-gamal-47723b151,docker products,mathematics,motion tracking
khaled-nassar-2a129414b,problem solving,c++,python
khaled-sobhy-6b174b131,time series analysis,amazon web services (aws),machine learning
khaledmustafa8,ruby on rails,sql,sql
khaledsabry97,project management,software project management,android studio
khalidhsoliman,linear algebra,game development,unity
khalidzeiter,agile methodologies,user experience (ux),design patterns
kirollos-georges-63b34b97,test cases,android testing,ios testing
kirollos-n,elasticsearch,teaching,training
komtcho,magento,php,javascript
leena-essam-368279162,sql,sql,sql
leena-morsi-48a390144,java,microsoft office,python
linah-omara,software engineering,microsoft office,presenter
louees-nabil-944468100,sql,c#,object-oriented programming (oop)
m-elsaeed,angular,java,algorithms
m-okashaa,object-oriented programming (oop),c#,.net framework
